pasta;arquivo_original;arquivo_novo;tema;tipo;descricao;pagina_publica_sugerida;duplicata_de
CLARO\2. AGENDA;Screenshot 2026-07-26 214859.png;agenda--politicas--regras-comerciais--claro--pagina--024.png;claro;pagina;Configuracao das politicas e regras comerciais da agenda;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 214912.png;agenda--politicas--consequencia-de-falta--claro--popover--025.png;claro;popover;Seletor da consequencia aplicada em caso de falta;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 214945.png;agenda--calendario-mensal--detalhes-do-dia--claro--popover--026.png;claro;popover;Visao mensal com popover de detalhes dos eventos do dia;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 215046.png;agenda--remarcacao--confirmar-politicas--claro--modal--027.png;claro;modal;Confirmacao de remarcacao com exibicao das politicas aplicaveis;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 215103.png;agenda--remarcacao--sucesso--claro--modal--028.png;claro;modal;Confirmacao de que a sessao foi remarcada com sucesso;/agenda-para-psicologos;
CLARO\2. AGENDA;Screenshot 2026-07-26 215149.png;agenda--calendario-diario--sessoes-agendadas--claro--pagina--029.png;claro;pagina;Visao diaria da agenda com sessoes marcadas;/agenda-para-psicologos;
CLARO\2. AGENDA;step 4 - resumo sessão e recorrência.png;agenda--novo-agendamento--etapa-04-resumo-recorrencia--claro--modal--030.png;claro;modal;Resumo final de uma sessao semanal recorrente;/agenda-para-psicologos;
CLARO\2. AGENDA;viewmensal-claro-desktop.png;agenda--calendario-mensal--visao-completa--claro--pagina--031.png;claro;pagina;Visao mensal completa da agenda em desktop;/agenda-para-psicologos;
CLARO\2. AGENDA;viewsemanal-sidebaresquerda1.png;agenda--calendario-semanal--resumo-lateral--claro--pagina--032.png;claro;pagina;Visao semanal com resumo de agenda na barra lateral;/agenda-para-psicologos;
CLARO\2. AGENDA;viewsemanal-sidebaresquerda2.png;agenda--calendario-semanal--filtros-laterais--claro--pagina--033.png;claro;pagina;Visao semanal com filtros de calendario na barra lateral;/agenda-para-psicologos;
CLARO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-16 221200.png;teleconsulta--pre-entrada--camera-desligada-e-privacidade--claro--pagina--001.png;claro;pagina;Pre-entrada com camera desligada privacidade e botao iniciar;/teleconsulta-para-psicologos;
CLARO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-16 221207.png;teleconsulta--pre-entrada--dispositivos-de-audio-e-video--claro--pagina--002.png;claro;pagina;Pre-entrada mostrando seletores de microfone camera e saida;/teleconsulta-para-psicologos;
CLARO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-16 221220.png;teleconsulta--transcricao--consentimento-antes-de-iniciar--claro--modal--003.png;claro;modal;Consentimento para transcrever a teleconsulta antes da entrada;/transcricao-de-sessao-com-ia-para-psicologos;
CLARO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-16 221235.png;teleconsulta--em-sessao--sem-transcricao--claro--pagina--004.png;claro;pagina;Sala de teleconsulta em andamento sem transcricao ativa;/teleconsulta-para-psicologos;
CLARO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-16 221244.png;teleconsulta--pos-sessao--carregando-revisao-sem-transcricao--claro--pagina--005.png;claro;pagina;Pos-sessao carregando revisao de uma chamada sem transcricao;/teleconsulta-para-psicologos;
CLARO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-16 221256.png;teleconsulta--pos-sessao--revisao-sem-dados-resumo--claro--pagina--006.png;claro;pagina;Topo da revisao pos-sessao sem dados de transcricao;/teleconsulta-para-psicologos;
CLARO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-16 221306.png;teleconsulta--pos-sessao--detalhes-sem-dados--claro--pagina--007.png;claro;pagina;Detalhes e acordeoes da revisao sem dados de transcricao;/teleconsulta-para-psicologos;
CLARO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-17 003921.png;teleconsulta--pos-sessao--carregando-revisao-com-transcricao--claro--pagina--008.png;claro;pagina;Revisao pos-sessao sendo gerada a partir da transcricao;/transcricao-de-sessao-com-ia-para-psicologos;
CLARO\3. TELECONSULTA - PRÉ E PÓS-JOIN;Screenshot 2026-07-17 003933.png;teleconsulta--pos-sessao--revisao-gerada-e-aviso-pendente--claro--pagina--009.png;claro;pagina;Revisao gerada com resumo clinico e aviso de salvamento pendente;/transcricao-de-sessao-com-ia-para-psicologos;
CLARO\3.TELECONSULTA - ABA PRINCIPAL;Screenshot 2026-07-16 213817.png;teleconsulta--visao-geral--proxima-sessao-e-contexto--claro--pagina--001.png;claro;pagina;Pagina principal com proxima sessao contexto e historico;/teleconsulta-para-psicologos;
CLARO\4. PACIENTES + NOVO PACIENTE;Screenshot 2026-07-16 213830.png;pacientes--lista--cartoes-de-pacientes--claro--pagina--001.png;claro;pagina;Grade de cartoes dos pacientes cadastrados;/pacientes-para-psicologos;
CLARO\4. PACIENTES + NOVO PACIENTE;Screenshot 2026-07-16 221407.png;pacientes--exclusao--confirmar-e-exportar-dados--claro--modal--002.png;claro;modal;Confirmacao de exclusao com opcao de exportar os dados;/pacientes-para-psicologos;
CLARO\4. PACIENTES + NOVO PACIENTE;Screenshot 2026-07-16 221415.png;pacientes--novo-prontuario--cadastro-rapido--claro--modal--003.png;claro;modal;Cadastro rapido para criar paciente e prontuario;/pacientes-para-psicologos;
CLARO\4. PACIENTES + NOVO PACIENTE;Screenshot 2026-07-16 221429.png;pacientes--novo-prontuario--cadastro-completo-financeiro-endereco--claro--modal--004.png;claro;modal;Cadastro completo nas secoes financeira e endereco;/pacientes-para-psicologos;
CLARO\4. PACIENTES + NOVO PACIENTE;Screenshot 2026-07-16 221438.png;pacientes--novo-prontuario--cadastro-completo-responsavel--claro--modal--005.png;claro;modal;Cadastro completo com dados adicionais e responsavel;/pacientes-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 003432.png;prontuario--resumo--indicadores-clinicos-e-dados-do-paciente--claro--pagina--001.png;claro;pagina;Resumo superior do prontuario com indicadores clinicos e dados;/prontuario-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 003514.png;prontuario--resumo--historico-synapse-whatsapp--claro--drawer--002.png;claro;drawer;Resumo inferior do prontuario com historico Synapse via WhatsApp;/software-para-psicologos-com-inteligencia-artificial;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 003525.png;prontuario--portal-paciente--enviar-convite--claro--modal--003.png;claro;modal;Convite para liberar o acesso do paciente ao portal;/portal-do-paciente;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 003604.png;prontuario--anamnese--selecionar-modelo--claro--modal--004.png;claro;modal;Galeria de modelos para iniciar uma anamnese;/anamnese-psicologica-digital;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 003735.png;prontuario--sessao--resumo-clinico-sem-dados--claro--pagina--005.png;claro;pagina;Cartao de resumo da sessao antes de haver dados gerados;/prontuario-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004124.png;prontuario--sessao--resumo-clinico-gerado-expandido--claro--pagina--006.png;claro;pagina;Resumo clinico de sessao preenchido e expandido;/prontuario-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004148.png;prontuario--anamnese--formulario-em-edicao--claro--pagina--007.png;claro;pagina;Formulario de anamnese aberto para preenchimento e edicao;/anamnese-psicologica-digital;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004203.png;prontuario--humor--grafico-de-tendencia--claro--pagina--008.png;claro;pagina;Grafico de tendencia do humor registrado ao longo do tempo;/prontuario-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004211.png;prontuario--humor--historico-de-registros--claro--pagina--009.png;claro;pagina;Cartoes do historico detalhado de registros de humor;/prontuario-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004249.png;prontuario--relatorio-mensal--pre-visualizacao--claro--modal--010.png;claro;modal;Pre-visualizacao do relatorio mensal do paciente;/documentos-psicologicos-laudo-relatorio-atestado-declaracao;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004310.png;prontuario--financeiro--movimentacoes-do-paciente--claro--pagina--011.png;claro;pagina;Movimentacoes financeiras vinculadas ao paciente;/gestao-financeira-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004319.png;prontuario--financeiro--cobrancas-do-paciente--claro--pagina--012.png;claro;pagina;Lista de cobrancas financeiras do paciente;/gestao-financeira-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004327.png;prontuario--fiscal--acoes-de-documentos-fiscais--claro--modal--013.png;claro;modal;Acoes para emitir ou arquivar documentos fiscais;/receita-saude-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004338.png;prontuario--fiscal--arquivar-nfse-externa--claro--modal--014.png;claro;modal;Formulario para arquivar uma NFS-e emitida externamente;/receita-saude-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004352.png;prontuario--fiscal--emitir-nfse-configuracao-automatica--claro--modal--015.png;claro;modal;Emissao de NFS-e usando configuracao fiscal automatica;/receita-saude-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004404.png;prontuario--arquivos--estado-vazio--claro--pagina--016.png;claro;pagina;Area de arquivos do paciente em estado vazio;/prontuario-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004435.png;prontuario--documentos-oficiais--editor-de-declaracao--claro--pagina--017.png;claro;pagina;Editor A4 de declaracao com seletor do tipo de documento;/documentos-psicologicos-laudo-relatorio-atestado-declaracao;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004459.png;prontuario--historico--agendamento-criado-e-politica--claro--pagina--018.png;claro;pagina;Historico completo com criacao do atendimento e politica aplicada;/prontuario-para-psicologos;
CLARO\5. PRONTUÁRIO;Screenshot 2026-07-17 004539.png;prontuario--historico--remarcacao-recusada-e-resumo--claro--pagina--019.png;claro;pagina;Historico com remarcacao recusada pagamento e resumo clinico;/prontuario-para-psicologos;
CLARO\6. NEURODRIVE\1. NOTAS;MODO FOCO.png;neurodrive--notas--modo-foco-editor--claro--pagina--001.png;claro;pagina;Editor de nota ocupando a area principal no modo foco;/neurobox;
CLARO\6. NEURODRIVE\1. NOTAS;Screenshot 2026-07-16 213843.png;neurodrive--inicio--estado-vazio-com-navegacao--claro--pagina--002.png;claro;pagina;Inicio vazio do NeuroDrive com todas as areas na navegacao;/neurobox;
CLARO\6. NEURODRIVE\1. NOTAS;Screenshot 2026-07-16 213917.png;neurodrive--notas--lista-e-editor-em-tres-colunas--claro--pagina--003.png;claro;pagina;Notas em estrutura de navegacao lista e editor em tres colunas;/neurobox;
CLARO\6. NEURODRIVE\1. NOTAS;Screenshot 2026-07-17 004828.png;neurodrive--notas--lista-com-editor-vazio--claro--pagina--004.png;claro;pagina;Lista de notas com painel de edicao ainda vazio;/neurobox;
CLARO\6. NEURODRIVE\1. NOTAS;Screenshot 2026-07-17 005016.png;neurodrive--notas--modo-foco-com-synapse--claro--drawer--005.png;claro;drawer;Nota em modo foco com chat do Synapse aberto;/neurobox;
CLARO\6. NEURODRIVE\2. TAREFAS;Screenshot 2026-07-16 213853.png;neurodrive--tarefas--kanban-com-navegacao--claro--pagina--001.png;claro;pagina;Quadro Kanban de tarefas com navegacao completa do NeuroDrive;/neurobox;
CLARO\6. NEURODRIVE\2. TAREFAS;Screenshot 2026-07-17 005307.png;neurodrive--tarefas--kanban-navegacao-compacta--claro--pagina--002.png;claro;pagina;Quadro Kanban com navegacao lateral compactada;/neurobox;
CLARO\6. NEURODRIVE\2. TAREFAS;Screenshot 2026-07-17 005322.png;neurodrive--tarefas--lista-e-filtros-pendentes--claro--pagina--003.png;claro;pagina;Tarefas em lista com filtros e itens pendentes;/neurobox;
CLARO\6. NEURODRIVE\3. DOCUMENTOS;Screenshot 2026-07-17 005421.png;neurodrive--documentos--arquivos-de-pacientes--claro--pagina--001.png;claro;pagina;Grade de documentos e arquivos vinculados a pacientes;/neurobox;
CLARO\6. NEURODRIVE\4. INTEGRAÇÕES;Screenshot 2026-07-17 005347.png;neurodrive--integracoes--google-drive-e-notion--claro--modal--001.png;claro;modal;Integracoes com Google Drive indisponivel e Notion configuravel;/neurobox;
CLARO\6. NEURODRIVE\5. NEUROVIEW;2D.png;neuroview--grafo-2d--rede-com-paciente-e-nota--claro--pagina--001.png;claro;pagina;Grafo 2D de pacientes notas fluxos e tags com nota selecionada;/neurobox;
CLARO\6. NEURODRIVE\5. NEUROVIEW;3D.png;neuroview--grafo-3d--rede-completa-em-canvas--misto--pagina--002.png;misto;pagina;Grafo 3D em canvas escuro dentro da navegacao clara;/neurobox;
CLARO\6. NEURODRIVE\6. NEUROFLOW;Screenshot 2026-07-17 005832.png;neuroflow--canvas--mapa-clinico-com-diagnostico--claro--pagina--001.png;claro;pagina;Mapa visual de raciocinio clinico com blocos conexoes e diagnostico;/neurobox;
CLARO\6. NEURODRIVE\7. NEUROPULSE;1.png;neuropulse--sintese--construindo-analise--claro--estado--001.png;claro;estado;NeuroPulse processando o relato e construindo a sintese;/neurobox;
CLARO\6. NEURODRIVE\7. NEUROPULSE;2.png;neuropulse--sintese--seletor-de-abordagem--claro--popover--002.png;claro;popover;Seletor de abordagem terapeutica aberto antes da analise;/neurobox;
CLARO\6. NEURODRIVE\7. NEUROPULSE;3 - DIAGRAMA PRONTO.png;neuropulse--sintese--diagrama-clinico-pronto--claro--pagina--003.png;claro;pagina;Diagrama causal e clinico concluido pelo NeuroPulse;/neurobox;
CLARO\7. GESTÃO FINANCEIRA;Screenshot 2026-07-17 011210.png;gestao-financeira--visao-geral--regime-caixa--claro--pagina--001.png;claro;pagina;Visao financeira geral organizada pelo regime de caixa;/gestao-financeira-para-psicologos;
CLARO\7. GESTÃO FINANCEIRA;Screenshot 2026-07-17 011243.png;gestao-financeira--navegacao--menu-expandido-visao-geral--claro--drawer--002.png;claro;drawer;Menu lateral financeiro expandido sobre a visao geral;/gestao-financeira-para-psicologos;
CLARO\7. GESTÃO FINANCEIRA;Screenshot 2026-07-17 011308.png;gestao-financeira--novo-lancamento--receita-formulario--claro--modal--003.png;claro;modal;Formulario para registrar uma nova receita;/gestao-financeira-para-psicologos;
CLARO\7. GESTÃO FINANCEIRA;Screenshot 2026-07-17 011313.png;gestao-financeira--novo-lancamento--despesa-formulario--claro--modal--004.png;claro;modal;Formulario para registrar uma nova despesa;/gestao-financeira-para-psicologos;
CLARO\7. GESTÃO FINANCEIRA;Screenshot 2026-07-17 011333.png;gestao-financeira--cobranca-manual--sem-paciente-em-aberto--claro--modal--005.png;claro;modal;Cobranca manual antes de escolher paciente ou pacote;/gestao-financeira-para-psicologos;
CLARO\7. GESTÃO FINANCEIRA;Screenshot 2026-07-17 011346.png;gestao-financeira--cobranca-manual--paciente-e-pacote--claro--modal--006.png;claro;modal;Cobranca manual com paciente e pacote selecionados;/gestao-financeira-para-psicologos;
CLARO\7. GESTÃO FINANCEIRA;Screenshot 2026-07-17 011416.png;gestao-financeira--recorrencia--clinica-lista-pessoal-vazio--claro--pagina--007.png;claro;pagina;Recorrencias da clinica listadas e area pessoal vazia;/gestao-financeira-para-psicologos;
CLARO\7. GESTÃO FINANCEIRA;Screenshot 2026-07-17 011447.png;gestao-financeira--planejamento--metas-e-limites--claro--pagina--008.png;claro;pagina;Planejamento financeiro com metas limites e acompanhamento;/gestao-financeira-para-psicologos;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 011601.png;neurofinance--area-pix-limites--menu-expandido--claro--drawer--001.png;claro;drawer;Area Pix e limites com navegacao financeira expandida;/neurofinance;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 011659.png;neurofinance--conta-e-saldo--dashboard-com-cartao--claro--pagina--002.png;claro;pagina;Dashboard da conta com saldo atalhos e cartao financeiro;/neurofinance;
CLARO\8. NEUROFINANCE;Screenshot 2026-07-17 011715.png;neurofinance--pagar-boleto--etapa-01-consultar--claro--pagina--003.png;claro;pagina;Primeira etapa para consultar e pagar um boleto;/neurofinance;
